Description,GSM1059640,GSM1059641,GSM1059642,GSM1059643,GSM1059644,GSM1059645,GSM1059646,GSM1059647,GSM1059648,GSM1059649,GSM1059650,GSM1059651,GSM1059652,GSM1059653,GSM1059654,ID
"wingless-type MMTV integration site family, member 5A",3.022149001,3.313686733,3.262331816,2.850955983,2.637242782,3.504252908,2.502221699,3.110290854,3.143553728,3.533716202,3.147959746,3.279810486,3.355994368,2.776904396,3.220241731,7474_at
"wingless-type MMTV integration site family, member 6",2.214770101,1.822021511,1.893476401,1.922085664,2.181573891,1.922085664,1.790179433,1.811218358,2.152711084,2.060024861,1.865327778,1.999374393,1.938351973,2.073520417,1.876681124,7475_at
"wingless-type MMTV integration site family, member 7A",1.675266014,1.80829043,1.725495247,1.840595563,1.699447397,1.640262805,1.674665736,1.717841005,1.82561152,1.700935882,1.701815005,1.911689345,1.894670545,1.667162356,1.741291213,7476_at
"wingless-type MMTV integration site family, member 7B",2.908060493,2.788438521,2.986882524,2.717343519,2.982971555,3.035372256,2.88643311,3.050174139,3.214172091,2.989660499,3.086897199,2.973911177,2.583214799,2.513067233,3.015637241,7477_at
"wingless-type MMTV integration site family, member 8A",2.740197024,2.280739676,2.257952183,2.257952183,2.257952183,2.120937873,2.257952183,2.324709825,2.491971701,2.494947058,2.177383394,2.257952183,2.144478256,2.214577034,1.846063539,7478_at
"wingless-type MMTV integration site family, member 8B",1.748398536,1.800806076,2.029167359,1.782412947,1.641307106,1.820924726,1.816334507,2.061251951,1.885622235,2.253531299,1.966538695,2.031430058,2.128545036,1.768041055,1.829383195,7479_at
"diacylglycerol lipase, alpha",1.78796615,1.720584008,1.699526797,1.874681115,2.022521278,1.893094827,1.930354627,2.021403493,1.952697124,2.112208998,1.893094827,1.969132192,1.783229803,1.893094827,1.893094827,747_at
"wingless-type MMTV integration site family, member 10B",3.282085849,3.073382978,3.249710977,3.136546839,3.305147911,3.305147911,3.305147911,3.26610443,3.318490933,3.675877623,3.379688953,3.641443953,3.744124965,3.380282309,3.089758525,7480_at
"wingless-type MMTV integration site family, member 11",4.108560776,3.876725163,4.152248999,4.202967959,4.444848156,4.279855675,3.582460613,4.39784928,3.216793265,4.821620955,3.947131514,3.618460713,4.987824939,3.510075407,4.220557123,7481_at
"wingless-type MMTV integration site family, member 2B",2.581244444,3.108945401,5.539038756,2.985272107,3.212918524,7.112009752,5.887250862,3.084833647,3.106139565,2.671983451,3.329234077,3.057936529,3.02634559,4.554933525,3.178773196,7482_at
"wingless-type MMTV integration site family, member 9A",1.869977642,2.008597505,2.204345561,1.923224562,1.962628593,1.935707225,2.04306202,1.856863359,2.206780375,2.358121188,1.989219943,1.76491195,1.866363805,1.96024705,1.711026582,7483_at
"wingless-type MMTV integration site family, member 9B",1.616404099,1.615113709,1.758164747,1.519660238,1.676985026,1.484205639,1.520600917,1.479304419,1.692255418,1.805148735,1.842861124,1.851348991,1.895592025,1.589230267,1.710767614,7484_at
tryptophan rich basic protein,9.048228187,8.784973436,9.174641082,8.87535418,9.12790503,9.415557548,8.822689515,9.431644202,9.542885102,9.183326045,9.123241451,9.673772978,9.047441129,9.026007672,9.109905348,7485_at
"Werner syndrome, RecQ helicase-like",4.86089181,4.751080763,5.07272795,4.097667233,4.654405673,4.671041819,4.501346031,5.208783158,3.516382137,4.893246988,4.754676264,4.06291546,3.881909769,4.446163299,4.671041819,7486_at
Wilms tumor 1,2.190789945,2.111990961,2.374322514,2.530886809,2.022808368,2.162680445,2.338531201,1.845959325,2.094777559,2.162680445,2.23164156,2.650461463,1.901578463,2.162680445,2.162680445,7490_at
X-box binding protein 1,8.807635781,8.095267137,8.165079815,7.994840524,8.006105679,8.270163627,8.887878391,7.812001328,8.819533762,8.499522212,7.772559399,8.177419347,8.220955338,8.316286382,7.896810585,7494_at
